単語,意味
紆余曲折,事情が込み入っていて色々変化すること
甘んじる,不十分であっても受け入れる
文名,作家としての名声
焦燥,いらいらすること
節を屈する,自分の志を曲げて人に従う
歯牙にもかけない,問題にしない
自尊心,自分の心を大切にする気持ち
おめおめと,恥ずべき事と知りながらそのままでいるさま
厭う（いとう）,いやがる
覚えず,無意識のうちに
茫然,気が抜けてぼんやりしているさま
忍びない,耐えられない
そらんずる,書いたものを見ないでそのとおりに言う
名を成す,人に名を知られるようになる
巧拙,たくみなこととつたないこと
産を破る,財産をすっかり失う
高雅,気高く優雅なこと
非凡,平凡より優れていること
あさましい,見苦しく情けない
自嘲,自分で自分を軽蔑する
奇異,普通と様子が違っていること
粛然,何の物音も聞こえず静かなさま
薄倖,幸せに恵まれないこと
尊大,威張って他人を見下げるような態度
羞恥心,恥ずかしく感じる気持ち
伍する,仲間に入る
性情,人間の性質と心情
空費,時間や労力を無駄に使うこと
弄する,もてあそぶ
刻苦,心身を苦しめて励み努めること
専一,他を顧みないである物事にだけ力を注ぐこと
意に沿う,要求に応じる